Tue Jul 18 13:31:11 BST 2017 
categoryName, categoryNumber, f1train, f1test, totPositiveTest, totNegativeTest, totTestDocsInCat, query
acq, 0, 0.777, 0.808, 546, 86, 719, disclosed merger acquired sell undisclosed stake acquisition acquire 
corn, 1, 0.557, 0.538, 56, 96, 56, unknown maize corn 
crude, 2, 0.763, 0.690, 118, 35, 189, barrel exploration refinery cubic bbl barrels gasoline opec 
earn, 3, 0.935, 0.938, 1059, 112, 1087, dividend earnings split div vs payout qtr profit 
grain, 4, 0.642, 0.655, 146, 151, 149, wheat barley corn grain rice cereals crop maize 
interest, 5, 0.505, 0.538, 110, 168, 131, bills rate fed bundesbank 
money-fx, 6, 0.652, 0.637, 155, 153, 179, currencies monetary dealers fed intervene money dollar 
ship, 7, 0.643, 0.627, 64, 51, 89, shipping ferry seamen port ships tankers vessel 
trade, 8, 0.602, 0.542, 109, 176, 117, trade retaliation yeutter 
wheat, 9, 0.556, 0.549, 70, 114, 71, wheat durum 
 
Run Number, 1, Micro F1test: , 0.7649,  Macro F1test: , 0.6523, Total Positive Matches , 2433, Total Negative Matches, 1142, Total Docs,  2787 
,, Overall Test Micro F1 , 0.7649, Macro F1, 0.6523 
 
acq, 0, 0.774, 0.819, 548, 72, 719, acquisition merger acquire stake takeover disclosed transaction acquired 
corn, 1, 0.562, 0.544, 56, 94, 56, maize corn 
crude, 2, 0.749, 0.717, 128, 40, 189, barrel gasoline exploration drilling bbl opec barrels bpd 
earn, 3, 0.936, 0.938, 1060, 112, 1087, vs earnings payout profit split dividend revs qtr 
grain, 4, 0.639, 0.662, 147, 148, 149, rice crops wheat maize barley grain corn 
interest, 5, 0.517, 0.497, 86, 129, 131, lending exchequer prime bills fed bundesbank discount 
money-fx, 6, 0.658, 0.641, 151, 141, 179, currencies dollar money fed intervene monetary 
ship, 7, 0.646, 0.614, 58, 42, 89, vessels vessel port warships seamen ferry ships escort 
trade, 8, 0.602, 0.586, 109, 146, 117, trade yeutter 
wheat, 9, 0.556, 0.549, 70, 114, 71, wheat durum 
 
Run Number, 2, Micro F1test: , 0.7736,  Macro F1test: , 0.6567, Total Positive Matches , 2413, Total Negative Matches, 1038, Total Docs,  2787 
,, Overall Test Micro F1 , 0.7692, Macro F1, 0.6545 
 
