gen, job, popSize, fitness, averageF1, averagePrecision, averageRecall, query
999, 0, 512, 2308.857, 0.782, 0.966, 0.660, Job: 0 ClusterQuery 0: 76 players nhl hockey ## ClusterQuery 1: 70 windows ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 59 shuttle nasa orbit ## ClusterQuery 4: 77 god jesus christ ## 
999, 1, 512, 2308.540, 0.776, 0.965, 0.652, Job: 1 ClusterQuery 0: 70 windows ## ClusterQuery 1: 59 nasa shuttle orbit ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 76 nhl players hockey ## ClusterQuery 4: 73 god christians jesus ## 
999, 2, 512, 2308.857, 0.782, 0.966, 0.660, Job: 2 ClusterQuery 0: 60 sale ## ClusterQuery 1: 76 hockey nhl players ## ClusterQuery 2: 59 orbit nasa shuttle ## ClusterQuery 3: 77 jesus christ god ## ClusterQuery 4: 70 windows ## 
999, 0, 512, 696.163, 0.678, 0.871, 0.574, Job: 0 ClusterQuery 0: 37 high ## ClusterQuery 1: 83 windows file ## ClusterQuery 2: 54 players nhl ## ClusterQuery 3: 91 life jesus christ god ## ClusterQuery 4: 60 sale ## 
999, 1, 512, 1911.747, 0.682, 0.965, 0.538, Job: 1 ClusterQuery 0: 54 players nhl ## ClusterQuery 1: 60 sale ## ClusterQuery 2: 63 christians god ## ClusterQuery 3: 33 orbit ## ClusterQuery 4: 70 windows ## 
999, 2, 512, 404.291, 0.660, 0.888, 0.550, Job: 2 ClusterQuery 0: 27 station ## ClusterQuery 1: 63 god christians ## ClusterQuery 2: 92 data windows ## ClusterQuery 3: 60 sale ## ClusterQuery 4: 73 nhl players play ## 
199, 0, 512, 266.412, 0.570, 0.767, 0.472, Job: 0 ClusterQuery 0: 85 flight sale ## ClusterQuery 1: 31 file ## ClusterQuery 2: 73 hockey game players ## ClusterQuery 3: 67 christians christ jesus ## ClusterQuery 4: 48 science ## 
199, 1, 512, 258.192, 0.506, 0.714, 0.398, Job: 1 ClusterQuery 0: 38 send ## ClusterQuery 1: 48 power ## ClusterQuery 2: 63 god christians ## ClusterQuery 3: 70 windows ## ClusterQuery 4: 44 game ## 
199, 2, 512, 460.861, 0.612, 0.888, 0.476, Job: 2 ClusterQuery 0: 52 station high ## ClusterQuery 1: 31 file ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 54 players nhl ## ClusterQuery 4: 68 jesus god ## 
1199, 0, 512, 760.758, 0.747, 0.913, 0.642, Job: 0 ClusterQuery 0: 50 station orbit ## ClusterQuery 1: 83 file windows ## ClusterQuery 2: 84 games hockey play players ## ClusterQuery 3: 60 sale ## ClusterQuery 4: 77 god jesus christ ## 
1199, 1, 512, 227.194, 0.287, 0.541, 0.196, Job: 1 ClusterQuery 0: 39 access ## ClusterQuery 1: 39 north ## ClusterQuery 2: 35 games ## ClusterQuery 3: 36 life ## ClusterQuery 4: 32 programs ## 
1199, 2, 512, 535.929, 0.723, 0.908, 0.608, Job: 2 ClusterQuery 0: 54 players nhl ## ClusterQuery 1: 83 windows file ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 61 mars station high ## ClusterQuery 4: 77 god christ jesus ## 
999, 0, 512, 2308.857, 0.782, 0.966, 0.660, Job: 0 ClusterQuery 0: 59 orbit shuttle nasa ## ClusterQuery 1: 70 windows ## ClusterQuery 2: 60 sale ## ClusterQuery 3: 77 god christ jesus ## ClusterQuery 4: 76 nhl hockey players ## 
999, 1, 512, 2308.540, 0.776, 0.965, 0.652, Job: 1 ClusterQuery 0: 73 jesus god christians ## ClusterQuery 1: 60 sale ## ClusterQuery 2: 59 orbit shuttle nasa ## ClusterQuery 3: 70 windows ## ClusterQuery 4: 76 nhl hockey players ## 
999, 2, 512, 2308.857, 0.782, 0.966, 0.660, Job: 2 ClusterQuery 0: 60 sale ## ClusterQuery 1: 77 jesus christ god ## ClusterQuery 2: 70 windows ## ClusterQuery 3: 59 orbit shuttle nasa ## ClusterQuery 4: 76 players nhl hockey ## 
999, 0, 512, 1955.245, 0.598, 0.950, 0.490, Job: 0 ClusterQuery 0: 4 lunar -nasa ## ClusterQuery 1: 55 jesus christ -faq ## ClusterQuery 2: 68 players satellite hockey -mars ## ClusterQuery 3: 54 sale -years ## ClusterQuery 4: 82 windows file -players ## 
999, 1, 512, 2095.140, 0.575, 0.809, 0.494, Job: 1 ClusterQuery 0: 80 hockey nhl team -sale ## ClusterQuery 1: 3 planetary -nasa ## ClusterQuery 2: 66 shuttle sale -orbit ## ClusterQuery 3: 73 christians god jesus -station ## ClusterQuery 4: 70 file using satellite -made ## 
